,pair,lift_score
419,"('p8', 'processor')",0.0
353,"('exynos', 'fingerprint')",0.0
418,"('p8', 'video')",0.0
417,"('p8', 'resolution')",0.0
416,"('p8', 'weight')",0.0
415,"('p8', 'camera')",0.0
414,"('p8', 'battery')",0.0
413,"('m20', 'display')",0.0
412,"('m20', 'screen')",0.0
411,"('m20', 'charging')",0.0
410,"('m20', 'charge')",0.0
409,"('m20', 'fast-charging')",0.0
408,"('m20', 'fast-charge')",0.0
432,"('p8', 'fast-charging')",0.0
433,"('p8', 'charge')",0.0
434,"('p8', 'charging')",0.0
435,"('p8', 'screen')",0.0
458,"('a8s', 'screen')",0.0
457,"('a8s', 'charging')",0.0
456,"('a8s', 'charge')",0.0
455,"('a8s', 'fast-charging')",0.0
454,"('a8s', 'fast-charge')",0.0
453,"('a8s', 'bad')",0.0
452,"('a8s', 'best')",0.0
451,"('a8s', 'gpu')",0.0
450,"('a8s', 'cpu')",0.0
449,"('a8s', 'durability')",0.0
448,"('a8s', 'speaker')",0.0
447,"('a8s', 'quality')",0.0
446,"('a8s', 'face')",0.0
445,"('a8s', 'fingerprint')",0.0
444,"('a8s', 'storage')",0.0
443,"('a8s', 'ram')",0.0
442,"('a8s', 'processor')",0.0
441,"('a8s', 'video')",0.0
440,"('a8s', 'resolution')",0.0
439,"('a8s', 'weight')",0.0
438,"('a8s', 'camera')",0.0
437,"('a8s', 'battery')",0.0
436,"('p8', 'display')",0.0
407,"('m20', 'bad')",0.0
406,"('m20', 'best')",0.0
405,"('m20', 'gpu')",0.0
378,"('p10', 'quality')",0.0
376,"('p10', 'fingerprint')",0.0
375,"('p10', 'storage')",0.0
374,"('p10', 'ram')",0.0
373,"('p10', 'processor')",0.0
372,"('p10', 'video')",0.0
371,"('p10', 'resolution')",0.0
370,"('p10', 'weight')",0.0
369,"('p10', 'camera')",0.0
368,"('p10', 'battery')",0.0
367,"('exynos', 'display')",0.0
366,"('exynos', 'screen')",0.0
365,"('exynos', 'charging')",0.0
364,"('exynos', 'charge')",0.0
363,"('exynos', 'fast-charging')",0.0
362,"('exynos', 'fast-charge')",0.0
361,"('exynos', 'bad')",0.0
360,"('exynos', 'best')",0.0
359,"('exynos', 'gpu')",0.0
358,"('exynos', 'cpu')",0.0
357,"('exynos', 'durability')",0.0
356,"('exynos', 'speaker')",0.0
259,"('iphonex', 'ram')",0.0
354,"('exynos', 'face')",0.0
377,"('p10', 'face')",0.0
379,"('p10', 'speaker')",0.0
404,"('m20', 'cpu')",0.0
380,"('p10', 'durability')",0.0
403,"('m20', 'durability')",0.0
402,"('m20', 'speaker')",0.0
401,"('m20', 'quality')",0.0
400,"('m20', 'face')",0.0
399,"('m20', 'fingerprint')",0.0
398,"('m20', 'storage')",0.0
397,"('m20', 'ram')",0.0
396,"('m20', 'processor')",0.0
395,"('m20', 'video')",0.0
394,"('m20', 'resolution')",0.0
393,"('m20', 'weight')",0.0
392,"('m20', 'camera')",0.0
391,"('m20', 'battery')",0.0
390,"('p10', 'display')",0.0
389,"('p10', 'screen')",0.0
388,"('p10', 'charging')",0.0
387,"('p10', 'charge')",0.0
386,"('p10', 'fast-charging')",0.0
385,"('p10', 'fast-charge')",0.0
384,"('p10', 'bad')",0.0
383,"('p10', 'best')",0.0
382,"('p10', 'gpu')",0.0
381,"('p10', 'cpu')",0.0
355,"('exynos', 'quality')",0.0
247,"('a9', 'fast-charge')",0.0
256,"('iphonex', 'resolution')",0.0
101,"('mate', 'face')",0.0
111,"('mate', 'charge')",0.0
110,"('mate', 'fast-charging')",0.0
109,"('mate', 'fast-charge')",0.0
108,"('mate', 'bad')",0.0
107,"('mate', 'best')",0.0
106,"('mate', 'gpu')",0.0
105,"('mate', 'cpu')",0.0
104,"('mate', 'durability')",0.0
103,"('mate', 'speaker')",0.0
102,"('mate', 'quality')",0.0
100,"('mate', 'fingerprint')",0.0
255,"('iphonex', 'weight')",0.0
99,"('mate', 'storage')",0.0
98,"('mate', 'ram')",0.0
97,"('mate', 'processor')",0.0
96,"('mate', 'video')",0.0
95,"('mate', 'resolution')",0.0
94,"('mate', 'weight')",0.0
93,"('mate', 'camera')",0.0
92,"('mate', 'battery')",0.0
91,"('iphone', 'display')",0.0
90,"('iphone', 'screen')",0.0
112,"('mate', 'charging')",0.0
113,"('mate', 'screen')",0.0
114,"('mate', 'display')",0.0
115,"('galaxy', 'battery')",0.0
136,"('galaxy', 'screen')",0.0
135,"('galaxy', 'charging')",0.0
134,"('galaxy', 'charge')",0.0
133,"('galaxy', 'fast-charging')",0.0
132,"('galaxy', 'fast-charge')",0.0
131,"('galaxy', 'bad')",0.0
130,"('galaxy', 'best')",0.0
129,"('galaxy', 'gpu')",0.0
128,"('galaxy', 'cpu')",0.0
127,"('galaxy', 'durability')",0.0
126,"('galaxy', 'speaker')",0.0
125,"('galaxy', 'quality')",0.0
124,"('galaxy', 'face')",0.0
123,"('galaxy', 'fingerprint')",0.0
122,"('galaxy', 'storage')",0.0
121,"('galaxy', 'ram')",0.0
120,"('galaxy', 'processor')",0.0
119,"('galaxy', 'video')",0.0
118,"('galaxy', 'resolution')",0.0
117,"('galaxy', 'weight')",0.0
116,"('galaxy', 'camera')",0.0
89,"('iphone', 'charging')",0.0
88,"('iphone', 'charge')",0.0
87,"('iphone', 'fast-charging')",0.0
62,"('note', 'bad')",0.0
60,"('note', 'gpu')",0.0
59,"('note', 'cpu')",0.0
58,"('note', 'durability')",0.0
57,"('note', 'speaker')",0.0
56,"('note', 'quality')",0.0
55,"('note', 'face')",0.0
54,"('note', 'fingerprint')",0.0
53,"('note', 'storage')",0.0
52,"('note', 'ram')",0.0
51,"('note', 'processor')",0.0
50,"('note', 'video')",0.0
49,"('note', 'resolution')",0.0
48,"('note', 'weight')",0.0
47,"('note', 'camera')",0.0
46,"('note', 'battery')",0.0
20,"('p20', 'charging')",0.0
25,"('mate20', 'weight')",0.0
26,"('mate20', 'resolution')",0.0
41,"('mate20', 'fast-charging')",0.0
40,"('mate20', 'fast-charge')",0.0
29,"('mate20', 'ram')",0.0
61,"('note', 'best')",0.0
63,"('note', 'fast-charge')",0.0
86,"('iphone', 'fast-charge')",0.0
64,"('note', 'fast-charging')",0.0
85,"('iphone', 'bad')",0.0
84,"('iphone', 'best')",0.0
83,"('iphone', 'gpu')",0.0
82,"('iphone', 'cpu')",0.0
81,"('iphone', 'durability')",0.0
80,"('iphone', 'speaker')",0.0
79,"('iphone', 'quality')",0.0
78,"('iphone', 'face')",0.0
77,"('iphone', 'fingerprint')",0.0
76,"('iphone', 'storage')",0.0
75,"('iphone', 'ram')",0.0
74,"('iphone', 'processor')",0.0
73,"('iphone', 'video')",0.0
72,"('iphone', 'resolution')",0.0
71,"('iphone', 'weight')",0.0
70,"('iphone', 'camera')",0.0
69,"('iphone', 'battery')",0.0
68,"('note', 'display')",0.0
67,"('note', 'screen')",0.0
66,"('note', 'charging')",0.0
65,"('note', 'charge')",0.0
137,"('galaxy', 'display')",0.0
140,"('s9', 'weight')",0.0
141,"('s9', 'resolution')",0.0
228,"('a7', 'screen')",0.0
226,"('a7', 'charge')",0.0
225,"('a7', 'fast-charging')",0.0
224,"('a7', 'fast-charge')",0.0
223,"('a7', 'bad')",0.0
222,"('a7', 'best')",0.0
221,"('a7', 'gpu')",0.0
220,"('a7', 'cpu')",0.0
219,"('a7', 'durability')",0.0
218,"('a7', 'speaker')",0.0
217,"('a7', 'quality')",0.0
216,"('a7', 'face')",0.0
215,"('a7', 'fingerprint')",0.0
214,"('a7', 'storage')",0.0
213,"('a7', 'ram')",0.0
212,"('a7', 'processor')",0.0
211,"('a7', 'video')",0.0
210,"('a7', 'resolution')",0.0
209,"('a7', 'weight')",0.0
208,"('a7', 'camera')",0.0
207,"('a7', 'battery')",0.0
206,"('p9', 'display')",0.0
227,"('a7', 'charging')",0.0
229,"('a7', 'display')",0.0
204,"('p9', 'charging')",0.0
6,"('p20', 'ram')",0.0
252,"('a9', 'display')",0.0
251,"('a9', 'screen')",0.0
250,"('a9', 'charging')",0.0
249,"('a9', 'charge')",0.0
248,"('a9', 'fast-charging')",0.0
32,"('mate20', 'face')",0.0
246,"('a9', 'bad')",0.0
244,"('a9', 'gpu')",0.0
243,"('a9', 'cpu')",0.0
242,"('a9', 'durability')",0.0
241,"('a9', 'speaker')",0.0
240,"('a9', 'quality')",0.0
239,"('a9', 'face')",0.0
238,"('a9', 'fingerprint')",0.0
237,"('a9', 'storage')",0.0
236,"('a9', 'ram')",0.0
235,"('a9', 'processor')",0.0
234,"('a9', 'video')",0.0
233,"('a9', 'resolution')",0.0
232,"('a9', 'weight')",0.0
5,"('p20', 'processor')",0.0
205,"('p9', 'screen')",0.0
203,"('p9', 'charge')",0.0
144,"('s9', 'ram')",0.0
175,"('note9', 'gpu')",0.0
173,"('note9', 'durability')",0.0
10,"('p20', 'quality')",0.0
11,"('p20', 'speaker')",0.0
12,"('p20', 'durability')",0.0
13,"('p20', 'cpu')",0.0
164,"('note9', 'resolution')",0.0
163,"('note9', 'weight')",0.0
14,"('p20', 'gpu')",0.0
157,"('s9', 'charge')",0.0
156,"('s9', 'fast-charging')",0.0
155,"('s9', 'fast-charge')",0.0
17,"('p20', 'fast-charge')",0.0
18,"('p20', 'fast-charging')",0.0
152,"('s9', 'gpu')",0.0
151,"('s9', 'cpu')",0.0
150,"('s9', 'durability')",0.0
149,"('s9', 'speaker')",0.0
19,"('p20', 'charge')",0.0
147,"('s9', 'face')",0.0
146,"('s9', 'fingerprint')",0.0
145,"('s9', 'storage')",0.0
174,"('note9', 'cpu')",0.0
9,"('p20', 'face')",0.0
202,"('p9', 'fast-charging')",0.0
